,0
0,0.094388502
1,0.009185102382978722
2,0.011623650485981307
3,0.009306797041198503
4,0.009495396593155892
5,0.0099834981124498
6,0.009345683464419476
7,0.009982690064257027
8,0.010781120636363635
9,0.014448337494186047
10,0.017051666410958902
11,0.017182138201388888
12,0.0129063158125
13,0.012306517201970442
14,0.013145874656084657
15,0.013032269476439791
16,0.015307914833333332
17,0.013706042972527472
18,0.015942844102564104
19,0.01375583358888889
20,0.01328214955080214
21,0.013393661940860216
22,0.013746725425414363
23,0.012092045990291263
24,0.01062831467948718
25,0.011508610129629629
26,0.01027768226859504
27,0.010355767679166666
28,0.009004218823104693
29,0.00938864601509434
